mol solvent,mol solute,target Gsolv kcal
ClC(=C)C=C,CNc1ccccc1C(O)=O,-9.10220084
O=C1CCCCC1,Nc1ccc(Cl)c(Cl)c1Cl,-11.77014077
CCNC=O,CI,-3.7204539
CC(C)C,O=N(OCCON(=O)=O)=O,-5.25533108
COCOC,ONC(c(ccc1)cc1N(=O)=O)=O,-13.947523
O1CCCC1,OC(=O)c(cn1)ccc1N,-14.972164300000001
CC(C)c1ccccc1,N#Cc1cscn1,-7.97110047
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CNC(C)Cc(cc1)ccc1O,-6.46975888
ClCCCl,FC(F)(F)S(=O)(=O)N=C(c1ccccc1)NS(C(F)(F)F)(=O)=O,-14.10731377
Brc2c1ccccc1ccc2,Nc1ccc(Br)cc1,-8.47985948
O=CN,Clc3cc(Cl)c2Oc1ccccc1Oc2c3Cl,-8.42378393
CCOC(=O)c1ccccc1,FC(C)(C)C,-2.8534566000000003
O=C1CCCO1,FC(F)(F)C(O)(C(F)(F)F)C=O,-4.32250124
Ic1ccccc1,CNC(C)C(C)(C)C,-5.08274744
CC(C)(C)Cl,CC1(C)CC=CC1,-4.29794579
CCOC(C)=O,CCCCC(CCC)=O,-6.4891565
N#CCCCC#N,ClCC(C)(C)Cl,-4.67547494
CC(Cl)(Cl)Cl,CC4(C)COP(OC4)(=O)C(c3ccccc3)(c2ccccc2)c1ccccc1,-20.56604888
CSC,CC(Cl)C#N,-5.96277226
OC(C)(C)C,CSC(C)C,-4.17139913
Clc1ccccc1Cl,Oc1cc(C#N)ccc1,-9.04932584
CCCCCCCl,CCc1cc(CC)cc(CC)c1,-7.89857542
c2nc1ccccc1cc2,Cn1cccc1c2cccnc2,-10.67092547
C(CC2)CCC2c1ccccc1,Nc2c1ncccc1ccc2,-8.71976018
OCCCCCCCCCCCC,FCOCOCCF,-4.06811752
CCCCCCOC(C)=O,FC(F)C(F)C(F)(C)Cl,-4.59368843
FC(F)C(F)C(F)(F)F,C1NC1,-3.73529749
OCc1ccccc1,O(C2)CC1CCC2CC1,-6.22219677
Cc1ccccc1,SCc1ccccn1,-7.88339573
CCCN(=O)=O,Brc1cc(C#N)ccc1,-8.92741891
COc1ccccc1,NNC(=O)NN,-8.14835315
OCCCO,FC(F)C(F)C(F)(C)Cl,-3.43591844
N1CCCC1,COCC(C(F)(F)F)C(F)(F)F,-4.54844431
CCCCC(CO)CC,CCOC(=O)C(C#N)c(c(F)c1F)c(F)c(F)c1C(F)(F)F,-9.46813791
Clc1ccccc1,CCNCCNCC,-6.38261
OCCCl,COc1ncccn1,-8.35247391
CC(C)CC(C)(C)C,CN(C)CCC(=O)c1ccccc1,-8.96126956
ClC(Cl)=C(Cl)Cl,OC(C)COC(C)(C)C,-5.9205096
CC(CC(C)=O)=O,CC(=O)c1cnccn1,-7.62247239
CC(CC1)CS1(=O)=O,CCC(CC)=O,-4.51853949
CC(=C)C#C,Cc(cc1C)cc(C)c1N(=O)=O,-9.36659385
OCc1occc1,FC(F)OC(F)(C(F)F)C(F)F,-3.20537601
COP(OC)(OC)=O,FC(F)(F)CCC(F)C(F)(F)F,-4.31724452
OCCOCC,Cc(ccc1O2)cc1C=CC2=O,-10.37966195
OCCCCCCC,OC(=O)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-15.85871866
CCCOCC(O)C,CC(CCC1CC2)=CC1=CC2=O,-10.69706907
n1ccccc1,FS(O)(=O)=O,-13.83223327
CCOC(C)=O,COCCCC(F)(F)F,-4.52253913
CNc1ccccc1,OC(=O)C#C,-6.13292545
OCCOCCCC,O=C(Oc2ccccc2)Oc1ccccc1,-11.30120431
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,ClCCP(O)(O)=O,-5.88699271
N#CCCCC#N,CCCCn1cccc1,-6.11851528
ClCBr,Clc1ccc(N=C=O)cc1Cl,-8.82714192
Clc1ccccc1,COC(CCC#N)=O,-7.76970775
CCI,ClSC(F)(Cl)Cl,-4.72600104
CCC(C)=C,CSc1cnccn1,-7.1707996
CSC,CCCCCCC(O)(C)C,-7.77441088
CCC(C)=C,CCCCCOC(F)F,-5.02159853
CCC#N,CCN(c1ccccc1)C(=O)N(CC)c2ccccc2,-12.67146908
BrC(Br)Br,CN2C(c1ccccc1C2=O)=O,-10.23979688
CCCC(C)CC,COc6ccc(cc6)N=P(N5CCCC5)(N4CCCC4)N=P(N3CCCC3)(N2CCCC2)N1CCCC1,-22.01569849
CCCBr,CC1(CCC=C(C)C)C2CC1CC=C2C,-9.20405872
CCOCCOCCOCC,CCCCN(CCCC)CCCC,-6.61743525
Cc1ncccc1C,CCC1CCCCC1C,-5.34967301
OCCS,O=N(=O)c(cc1)ccc1Nc2ccc(cc2)N(=O)=O,-21.28850592
Brc1ccccc1,OCCOCCN,-7.51455505
BrC(Br)C(Br)Br,S=c1[nH]c([nH]cc1)=S,-11.81344405
OCCCO,Fc1ccccc1N,-6.66056639
CCCC,FC=C(F)Br,-2.66215029
CCOC(CCC)=O,c2nc1cc[nH]c1cc2,-11.12913863
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,COCC(C)=O,-3.56798328
CC(C)=C,CC(C)(C)C(C)=O,-5.10027934
Cc1nc(C)ccc1,CC1(C)C(CC1CC2OC(C)=O)C2=C,-8.57484116
O=N(c1ccccc1)=O,CCCCCCCC(OC(C)CCC)=O,-9.10238495
CCOc1ccccc1,O=N(=O)C(COCOCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,-12.40078958
CNC(C)=O,COc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-13.42040574
CCCCC(C)=O,NCC(C)C,-3.93928663
CCC(C)CC,FCC(C)(C)OC,-3.59525587
OCC1CCCO1,CCCCCCCCCC(=O)N,-12.69773088
CCNC(C)=O,CC(C)CCSSCCC(C)C,-8.35413348
FC(F)C,CCC(Cl)N(=O)=O,-6.02781764
ClC(Cl)(Cl)Cl,CCCCc2sc1ccccc1c2,-9.99629732
CCCCCCCl,CCC(F)(F)C(F)(F)C(F)(F)C(F)F,-4.12510843
CC(C)(C)Cl,COc(ccc1N)cc1C,-9.10096745
CCCCl,COc1cc(C=C)ccc1O,-9.35002213
OCCC,Nc1cc(cc(c1)N(=O)=O)N(=O)=O,-14.35455369
OCCCCCCCCC,CC(C)=CC=CC(C)=CC,-6.453365
C(CCc1cc2)Cc1cc2,CCOC1CCC(CC1)C(C)(C)CC,-9.1889515
CCNC(C)=O,CSc1ccc(C(C)=O)cc1,-10.56705648
CN1CCCC1=O,CCN1CCOCC1,-5.84512143
CCCCCC(C)=O,OCc1ccccc1O,-10.93924745
OCCCCCCCCCC,COc1ccccc1CO,-9.09890423
CCCCOCCCC,C(C=Cc1cc2)c1cc2,-6.47206662
CI,CCP(CC)(CC)=O,-9.42237498
CCCCNCCCC,OC(=O)c(ccc1N)cc1C,-13.70373059
OCCCCCC,CCCCCCCCCCC1CCCCC1,-9.79261348
CCCCCCCCCCCCCCC=C,O=S(Cc2ccccc2)(Cc1ccccc1)=O,-11.37447731
CCCCCCCCCCCC,CCCCCCCCCCC=O,-8.0659614
O1CCCCC1,CCOC(=O)c(cc1)ccc1N(C)C,-11.69490879
OCCCC,OC1=CC=C(C=C1)C1=CC2=C(S1)C=C(O)C=C2,-20.93916637
OCc1ccccc1,CNCCC=C3c1ccccc1CCc2ccccc32,-14.31383632
CCNC(C)=O,FC(F)(C)C(F)(F)C,-2.8589107000000005
CCCCCC,O=C1NCC1,-4.12108578
ClCCCl,CCCCC(CC)COC(=O)C=C,-8.47858421
OCCCCCCCCCC,FC(F)(F)C(F)(F)C(F)(F)C(F)(C)C(F)(F)F,-2.51566986
CCN(CC)CC,CCC1=CCCCC1,-5.32979084
OCc1occc1,COP(OC)(OC=C(Cl)Cl)=O,-9.24035747
Cc1ncccc1C,FCC(F)(C)OC,-4.10842679
c1cscc1,CCOCCC#N,-7.58154894
ICI,c(cc1)ccc1c2ccccc2,-9.23298926
CC#N,CC(C)(C)c1cc(C)ccc1O,-10.02852353
CCNC=O,CC(C)C(F)(C(F)(F)F)C(F)(F)F,-2.37017522
c2nc1ccccc1cc2,OCC(O)CS,-9.68607101
ClCCl,CC(=C1C)NC(=S)N1C,-14.28211674
CN(C)C=O,CN2c1ccccc1C(=O)C2=O,-12.12239232
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,O=C1OC(CC1)=O,-7.38014469
ClCC(C)C,CCCC(C)C(F)(F)C,-5.13890599
O=S=O,CCC(F)(C)C(F)(F)C(F)(F)C(F)(F)F,-3.87989556
CS(C)=O,Fc1ccccc1F,-4.12542353
C(CC2)CCC2c1ccccc1,CCc1occc1,-4.50317052
NCc1ccccc1,CC(C)CCOCCc1ccccc1,-9.07080571
O=S1(CCCC1)=O,CCCCCC(CC1(C)C)C(C)C1=O,-6.51440759
FCCCCCCCC,Cn1ccc(=O)n(C)c1=O,-9.06586974
OCCCCCCCC,OC(=O)c1cccnc1,-10.661656800000001
OCCCCCCCC,Cc(nc1C)sc1C=C,-7.64670732
CCCCCCCC,OCc1ccccc1C,-6.4901983
Cc1cc(C)cc(C)c1,CCCCCCC(C)C=O,-7.40420236
ClC(Cl)(Cl)Cl,CCn1cccc1,-5.55309327
CO,NCCCCCCCCCCCC,-9.81171337
CN(=O)=O,FC(F)OCC(F)(F)C(F)(F)F,-2.88719013
N1CCCC1,FC(F)OCOC(F)(F)C,-4.38913873
CC1OC(OC1)=O,CC(C)OC(C)c(cc1)ccc1C,-6.74801932
Fc1c(F)c(F)c(F)c(F)c1F,CCC1(C)CC(=O)NC1=O,-8.02834252
CCOc1ccccc1,FC(C)C(F)(F)N(C)C,-5.16875632
Clc2c1ccccc1ccc2,CCCCC(C#N)c1ccccc1,-10.35565104
BrC(Br)Br,FC(F)(F)C(F)(F)C(F)(F)Br,-1.95434386
CC1OC(OC1)=O,CC(C)COC(C)=O,-4.93758879
CCCCNCCCC,FC(F)(F)OCC(F)(F)C(F)(F)C(F)(F)F,-2.86517205
NCCN,CC(C1)CC(OC1(C)C)=O,-7.61618631
Cc1cc(C)cc(C)c1,FC(F)(F)C(N)(C)C,-3.52678382
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,S=C1NC=CC=C1,-9.97820137
CCCCCCCl,CC1=C(C=CC=C1)C1=CC2=C(N1)C=CC(=C2)C(N)=N,-17.43996717
Cc1cc(C)ccc1,CCCCCCCCCCCCCC(OC)=O,-12.02131932
ClC(Cl)(Cl)Cl,CCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,-3.86867106
CCCBr,FC(F)(F)C(F)C(C)C(F)(F)F,-3.30481864
CC(C)OC(C)C,COC(=O)c1ccccc1O,-7.91923204
BrC(Br)Br,O=Nc1ccccc1N(=O)=O,-10.44905538
CNC=O,Cc2nc1c(cccc1C)cc2,-8.0883897
CC(C)(C)c1ccccc1,CC(=O)Oc(ccc1)cc1F,-7.09269535
CCC=C,CCOc1ccccc1O,-7.95871492
BrCCBr,CCOC(CF)C(F)(F)C(F)(F)F,-4.27209381
ClC(Cl)(Cl)Cl,CC(CCC(C)=C)=C,-5.19309096
O=Cc1occc1,OC(=O)c1occc1,-10.03794847
BrCCBr,FC(O)=C,-3.02916051
CC(C)C(C)C(C)C,FC(Cl)(Cl)C(Cl)(Cl)Cl,-5.45430953
CN(C)C(C)=O,NC(C)CCC(F)(F)F,-5.53549339
C1OCCOC1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,-9.65984754
CCC(C)=O,COc(ccc1C(C)=O)cc1O,-10.09748537
CN(C)C(C)=O,Nc(cnc1c2N)nc1ncn2,-20.38918153
C(c2ccccc2)c1ccccc1,FC(F)(F)CCC(F)(F)O,-4.10596431
ClCCCl,CCC(C)(C)OC(C)=O,-6.17403407
OCCCCC,NCC(O)(C)C,-8.05572916
CCCCCC#N,COc(ccc1OC)cc1C(O)=O,-12.89470152
CCCCCC,Cn1cccc1,-4.5862196
CN1CCCC1,CC(C)CCC(F)(F)F,-4.41619
CCC(C)=C,FC(F)(F)C(C)C(F)(F)C(F)(F)F,-3.24272274
CCCCCl,CCCCCC(CC)=O,-6.79974865
N#CCCCCC#N,CC1(C)C(CCC21CS(O)(=O)=O)CC2=O,-16.55259239
OCCc1ccccc1,FS(C)(=O)=O,-5.70026572
O=CN1CCOCC1,SCc1sccc1,-7.98005711
FCCCCCCCC,O=N(=O)c1cc(ccc1)NC(N)=S,-13.91446312
Cc1cccc(C)c1C,OCC1CC(C)=CC(C)C1,-7.68345777
NCCN,CCCCCC=CCO,-7.858521799999999
SC,COP(OC)(SCN2N=Nc1ccccc1C2=O)=S,-18.35617469
CCCCCCCCCCCC,Nc(ccc1O)cc1N(=O)=O,-8.00958449
CC(C)c1ccccc1,NC(N)C(C)(C)C,-5.23549872
CNc1ccccc1,COc2cc1OCOc1cc2CC=C,-9.69235763
C(C=Cc1cc2)c1cc2,CC1CCC(CC1)=C(C)C,-6.45957967
CCNCC,CCc(cnc1C(=NC2(C)C(C)C)NC2=O)cc1C(O)=O,-18.15696676
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1CC=CC2=CC(=O)C(CC21C)=C(C)C,-7.20821667
CCCCCN(CCCCC)CCCCC,CC(C)(C)c1cc(O)ccc1O,-8.8191135
OCC(O)CC,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,-0.20869031
CCC(C)(C)C,N#Cc1ccccc1,-5.98115417
C(CC2)CCC2c1ccccc1,FC(F)(F)C(F)C(F)(C)Cl,-3.4504855000000005
CCCCC(C)=O,Fc1cn(C)c(=O)[nH]c1=O,-11.55905951
OCCCCCCCCC,FC(F)C(C)C(C)(C)C,-4.28033911
FC(F)(F)C(F)(F)C(F)(F)F,OC(C)C(C)C=O,-3.42555429
COC(CC#N)=O,COc1ccccc1N,-8.38619889
CN(C)P(=O)(N(C)C)N(C)C,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,-15.05917863
COC(C)(C)C,CC1CC(C)=CCC1C=O,-7.66827664
CCC#N,CCOC(CCl)=O,-6.63508813
CCNC(C)=O,FC(F)(F)C(F)CC(C)C(F)(F)F,-4.285
BrC(Br)C(Br)Br,CC1(C)CCCC(C1CC2(C)C(C)=O)=CC2C,-11.79999906
Fc1ccccc1,NCc1cc(Cl)ccc1,-7.88491651
C1OCCOC1,C=CCc(cc1)ccc1O,-11.11827593
Cc1ccc(C)cc1,Clc1cc(ccc1)NC(C)=O,-10.6295371
OCCC(O)C,CCCOP(OCCC)(OCCC)=O,-9.57626884
CNC=O,CCC(OCC=C)=O,-5.12874113
Cc1ccc(C)cc1,C=Cc1ccccc1,-5.92971465
CCCCl,N#Cc1ccnnc1,-8.91169639
O=Cc1occc1,Cc(ccc1Cl)cc1N,-8.5719162
OC(C)=O,OC(C)C1CC1,-6.92071409
CCC(C)=O,Brc1ccc(cc1C)NC(=O)N,-15.94949283
OCC(O)CC,N#CCC#N,-7.40073247
CCOc1ccccc1,OCCCSC,-7.45750633
CCCCC(CO)CC,CN(C)C=NC#N,-10.32131508
N1CCCC1,Cc1nc(C)sc1,-6.61440125
C(C=Cc1cc2)c1cc2,CC1CC(CCCCCCCCCCC(OC1)=O)=O,-13.99695782
CC1OC1,CN(C)CN=C,-4.87333267
CCN(CC)C(C)=O,ON=C,-6.20965715
Clc2c1ccccc1ccc2,CCCCCCCCCCC(C)C,-8.10220382
CCC(C)(C)C,C=C1CCC1,-3.03028104
OCC(C)C,CCCc1ccncc1,-8.01921304
CCCCCCC=C,FC(F)(F)C(F)(F)C(F)(O)C(F)(F)F,-3.46952799
OCCCCO,CC(=O)Cc1occc1,-6.3404312
NC(C)C,O=C=Nc1ccccc1,-6.17222502
C(CC2)CCC2c1ccccc1,CC2(C)CCC3C1(COC32C)CC(C)=CCC1,-10.64200701
CCCCC=C,CN1CCC=C1C,-4.93759878
CO,CCCC(=O)C=C,-5.61132958
N#Cc1ccccc1,OC1CCC1,-5.44163955
OCC1CCCO1,Fc1ccc(cc1)C(=O)NO,-11.5805689
OCCCC,CCc(cc1CC)cc(CC)c1CC,-8.39719623
ICI,CC(C)COC(CCCCC(OCC(C)C)=O)=O,-12.87087575
COCCOCCOC,ClCCCN(C)C,-5.39916366
CCC1OC1,C=CCN=CN(C)C,-6.79857338
CCCCCCCl,ICI,-6.29556287
CC(C)c(cc1)ccc1C,O=C1CCCCCCCCCCCCCCCC1,-13.28316907
CCOc1ccccc1,CCC=NO,-5.02259091
Ic1ccccc1,O=CNNC=O,-7.68458124
CNC=O,OCCc(cc1)ccc1O,-13.85400692
OCCN(C)CCO,Oc1cc(C)c(C)c(C)c1C,-10.62329901
COC,n2nc1ccccc1cc2,-10.30548387
OCCCCCC,CC(C)(OC3CC1(CC4C2(C)C)C2CCC1C)OC43C,-11.78762348
CC(C)c(cc1)ccc1C,CCCCCc1ccccc1,-7.71457731
CCCC#N,Fc1cccc(Cl)c1C,-5.74846218
CC(C)(C)c1ccccc1,CC32CCCC(C)(C2CCC(C3CC1)=CC1(C)C=C)C(O)=O,-14.52535202
Cc1ccccc1,IC=C,-3.95430657
SC,CC(CCC1C(C)=C)CC1OC(C)=O,-9.6110712
CCOC(CCC)=O,O=C1CCCCO1,-7.47216431
NCc1ccccc1,OC(C(O)=O)c1ccccc1,-15.702299900000002
ClB(Cl)Cl,FC(F)(F)C(F)(F)C(F)C(F)(F)C(F)(F)C(F)(F)F,-2.76699031
OCCCCCCC,CC1(C)C=C(C)C(CC1)C(=O)C=CC,-9.42097378
CCCC#N,COc1ccc(C=CC)cc1OC,-10.34461286
CCCCCCCCC=C,CCCC=CC(C)C,-4.73993746
CCCCC,CC(C)(C)C(C)=O,-4.34051608
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O,O=S(c2ccccc2)(=O)NS(c1ccccc1)(=O)=O,-18.10678824
OCCCCCCC,Nc2nc1[nH]cnc1c(N)n2,-15.40686011
CC(=C)C#C,CC(C)CCCC(C)C(=C)C=O,-8.56192003
C1CCCCC1,FC(F)(F)P(O)C(F)(F)F,-2.61146972
COC(OC)=O,OCC(O)=O,-8.79191471
CCCCC=C,NC1NNNN1,-6.23104638
FC(F)C,CN(C)CCCn3c1ccccc1c2ccccc32,-13.08182707
OCCCO,CCCCCCCCCc2c1ccccc1ccc2,-9.35318215
Clc1ccccc1,COC(F)(F)C(C(F)(F)F)=O,-3.29207991
CO,CCOC(CF)C(F)C(F)(F)F,-4.89443963
CCOC(C)(C)C,COc(cc1O)cc(C)c1,-9.97208018
Clc2c1ccccc1ccc2,C=CCCN=C=S,-5.71880168
CCCCCCCCCCCCC,C(C21)C1CC=CC2,-4.22875643
CN(=O)=O,Cc1[nH]ccn1,-8.91597852
OCCCCO,CCC(CC1)CCC1C,-3.61457421
OCC(C)C,OC2CC(CCC2)C1CC(CC1C3C)C3(C)C,-12.69930912
CN(C)C(C)=O,CC(CC1)OC21C(C)=CCCC2(C)C,-7.85132737
c1cscc1,ClCCCC(OC)=O,-7.08898248
CCCCCCCCCCCCC,CCCC(O)CC,-4.52223316
C1CCCC1,CN(C)CCOC(=O)C(C)=C,-6.7168494999999995
Cc1ncccc1C,CCCCCC(C)(C)CC,-5.61595295
c1ccccc1,O(Cc1ccccc1)c2ccccc2,-10.75294672
Fc1c(F)c(F)c(F)c(F)c1F,Fc1cc(cc(F)c1)N(=O)=O,-6.33886807
CCN1CCCC1=O,COC(CCC(C)C(OC)=O)=O,-8.29606565
CCCl,FC(F)C(F)(Cl)Cl,-3.4694876000000003
OCC1CCCO1,CC1(C)C(CCC21C)CC2=O,-7.28346535
CCCCOC(C)=O,CCC(C)(C)C=C,-3.74800579
NCCCC,OC(=O)c(cc1)ccc1Br,-14.02427054
Cc1ccccc1N(=O)=O,CC(C)(C)C(C)=C,-3.63827695
CNc1ccccc1,CCOC(=O)Nc1ccccc1,-10.36092392
CCCC(C)CC,CC(C)CCOC(F)(F)F,-3.97659437
CCCCCCCCCCCCCCC,Oc1ccc(O)nn1,-5.77111143
FCCCCCCCC,COC(OC)C(C)(C)CC=C(C)C,-7.22346995
CC1CCCCC1,Nc1ccccc1,-5.65143477
CCCCN(CCCC)C=O,Fc1ccc(cc1)NC(C)=O,-12.03196991
OCCCC,N#Cc1occc1,-5.94158984
CNC(C)=O,NC(C)Cc1ccccc1,-8.38943258
c1cscc1,FC(F)CC(C)C,-4.09564
CCOP(OCC)(OCC)=O,COC(=O)C3c1ccccc1c2ccccc32,-12.191285699999998
CCOc1ccccc1,COC(=O)C=CC,-5.26005611
CCBr,Clc(ccc1Cl)cc1O,-7.94714841
CCCBr,CCOC(F)(OC(F)(F)C)C(F)(F)F,-4.89157117
CNC(C)=O,CCC(OCc1occc1)=O,-7.26160506
CCCCN(CCCC)C=O,CCN(CC)S(=O)(=O)N(CC)CC,-9.83933652
CC(C)C(C)C(C)C,Clc4cccc(Cl)c4N=P(N3CCCC3)(N2CCCC2)N1CCCC1,-16.35152975
CCCCCCCCCCCCCCC=C,OC(CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O)=O,-14.16518107
ClCC(C)C,CCOC(C1OC(CC1)=O)=O,-9.68251415
CC1CCCCC1,NCC(C)CC(F)(F)F,-4.24151255
O=CN,Cn1cncc1Br,-8.37143656
OCCOCCN,CCC(C)Br,-3.82191499
CC(C)CC(C)=O,FC(F)(F)c1cc(CN=CN(C)C)ccc1,-10.36937514
OCCCO,CCC(Cl)C(F)(F)C(F)(F)F,-2.36944734
ClC(Cl)C(O)=O,CCC(O)(C#C)C=CCl,-8.60388952
OCCOCCOCC,NCCS,-6.37932725
CC(C)=C,Oc(ccc1N(=O)=O)cc1O,-11.00309209
CC(C)CCC(C)(C)C,Oc1ccccc1C#N,-6.10293478
CCBr,OC(=O)c1ccc(N)cc1N,-12.83723233
C1CCCCC1,Fc1cc(F)oc1,-2.75113325
C(CC1)CCC1C2CCCCC2,CCCCC(OCC)=O,-5.29884644
CNC=O,CC(C)(C)C(=O)N(C2CCCCC2)C1CCCCC1,-11.03699879
BrC(Br)Br,CC1(C)CC(C)(C)CO1,-6.31564286
Brc2c1ccccc1ccc2,BrCCC(C)C,-5.25112782
c2nc1ccccc1cc2,CCCC(C)CC,-3.78905229
Clc2c1ccccc1ccc2,CCCOC(C(C)C)=O,-5.8933875
Cc1ccc(C)cc1,FC(F)=C(F)Br,-2.24199573
CC(C)CC(C)=O,FCCC(F)(CC)CC,-5.33443991
CCCCCCCCCCCCCCCC,C1OCCOC1,-3.75290838
CCCCCCC=C,FC(F)(F)OC(F)(C)C(F)(F)C,-3.14824178
CCC(C)=O,CCCCCCCCn1ccnc1,-11.08901335
CCCCOCCCC,FCC(F)(CF)C(F)F,-2.80779512
CCOCC,CCC(F)(F)C(F)(F)C(F)(F)F,-3.22819704
CCCCOC(C)=O,OCCC(C)C,-5.84654606
CCCCCCCCCCCC,CCNC(C)OC,-4.15830627
OCCCCCO,Clc1cccc(Cl)c1N,-7.54337879
OCCC(O)C,CC(C)CCC(OCC)=O,-5.33638551
Clc1ccccc1Cl,FCC(CF)C(C)C,-4.68081964
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,FC(F)(F)CC(Cl)C(F)(F)Cl,-3.73160645
CCN(CC)CC,Clc2cc1non(=O)c1cc2,-7.82795306
O=C1CCCC1,Cc2nc1cccc1[nH]c2,-14.13675681
OCCN,CC(CCC(C)=O)=O,-6.79627206
CO,OCCCCCCO,-12.264384100000001
CCI,FC(F)(N)N,-4.85126421
CCCC(C)CC,OC1=CC2=C(C=C1)C1=C(C=C(O)C=C1)C(=O)O2,-12.6946511
OCCCCCCCCC,NCCCCCCCCCC,-9.34632745
CCCOCC(O)C,Oc1cc(O)ccn1,-13.16116391
CNc1ccccc1,OCCCCC(F)(F)F,-6.50171599
NCC,CCCC(C)(CO)CO,-13.905475
OCC(O)C,NC(C)CC(C)C,-5.90584197
CC(Cl)Cl,FC(F)(F)C(F)(C)C(F)(C)C(F)(F)F,-4.1445611000000016
CCCC#N,CC(Cl)CC(C)Cl,-6.36960576
OCCCO,O=COCCc1ccccc1,-7.41878359
Cc1cc(C)cc(C)c1,Nc1ccc(cc1)S(=O)(=O)Nc(nc2C)nc(C)c2,-18.52866007
O=C1CCCC1,CC(C1CC1)=C,-4.026922
CCCCCCOC(C)=O,COc1ccccc1S,-8.32029001
CCN1CCCC1=O,FCCOC(F)(F)CF,-5.56676025
ClC(Cl)Cl,C(C(CC5C2C94)CC72C8C3C6CC(CC4C6C7)CC93CC51)C81,-12.57699868
OCCOCCOCCO,CCC(F)(C)C(F)(F)C(F)(C)C(F)F,-4.87369402
NCC,NC1=C(OCC2=CC=CC3=CC=CC=C23)C=CC=N1,-16.81774069
CN1CCCC1=O,CC1CCC(C1C=O)C(C)=C,-7.70710635
OCc1ccccc1,COc1cc(C=O)ccc1,-8.34292528
O=S1(CCCC1)=O,c2nc1nccnc1cn2,-10.42911585
CCCCOC(C)=O,FC(F)(F)C(F)(C(F)(F)C)C(F)(F)C,-4.27163491
OCC(C)C,CC(C)C(C)CC(F)(F)F,-4.08180219
CCCCCl,CCC(C)CCC(O)(C)CC,-7.80909143
CCCCC,CCC(F)(F)C(F)(F)CCC(F)(F)F,-4.67401602
CC(C)=O,FC=C,-1.62771104
CCCC(C)=O,c(ccc1cc2sc3)cc1cc2c3,-11.03383015
CI,FCCC(F)(F)C(F)(F)CCF,-5.71989335
CC(CC(C)=O)=O,CCCCCC#CCCCC,-5.08499557
CCCCCCC,CC(C)N=C=NC(C)C,-5.58833687
Cc1nc(C)ccc1,N#CC2(C#N)C1C=CC(C1)C2(C#N)C#N,-12.11098862
Cc1ncccc1C,CCN(CC)C(C(C)Oc2c1ccccc1ccc2)=O,-14.08139478
CCOc1ccccc1,CCCCC(O1)C=C(C)CC1C,-7.82954231
Cc1ccccn1,FC(C)C(C)C(C)(C)C,-5.2411437
CCCBr,CCC(Br)C(F)(F)F,-4.55453833
CC(C)=C,FC(C)C(F)(F)Cl,-3.46471348
CCCCCCCCCCCCCCC=C,C=CS(=O)(=O)C=C,-5.26094703
CCN(CC)C(C)=O,ClCC=C,-3.86522332
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,FC(F)(F)CC(F)(F)O,-2.51285701
ClB(Cl)Cl,COC(F)(F)C(F)(C)C(F)(F)F,-3.7082401
OCCCl,CCC(C(C)(C)C)=O,-5.58890997
OCCC(O)C,NCNC(C)C,-7.95915077
CCCCN(CCCC)CCCC,FC(F)(F)C(F)(C(F)(F)F)C(C(F)F)=O,-1.78569006
CC(C)CCC(C)(C)C,FC1CCCNC1,-4.54100862
CCCCC#N,ClCc(cc1)ccc1C,-7.77362801
OCC(O)C,FC(F)(F)OCC(F)C(F)(F)F,-2.64146124
CCCCCCCCCC,CN2C(c1ccccc1C2=O)=O,-7.94126598
CC(C)CC(C)(C)C,BrCC(C)Br,-5.24489211
Cc1ccc(C)cc1,FCCC(C)NC,-4.91762379
OCCCCCCCCCCCC,Clc(ccc1O)cc1O,-11.62328229
C(c2ccccc2)c1ccccc1,CCCc(cc1)ccc1C,-6.80827554
O=CN1CCOCC1,CC(C)c(sc1)nc1C,-6.56703911
CCC(C)CC,IC#N,-3.68360938
CN1CCCC1=O,FC(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,-4.34028705
OCCc1ccccc1,COC(C(F)(F)Cl)=O,-3.95080435
BrCCBr,Cc1ccc(cc1)S(=O)(=O)N,-13.20036991
